created_at,id_str,tweet
0,Mon Jan 27 06:25:56 +0000 2020,1221680723196665856,@AkankshaCutieS2 Where is the geetha bhavan?
0,Mon Jan 27 06:25:59 +0000 2020,1221680735049977856,OPEN PLOT #ForSale AT LOW PRICE in shankarpally #ResidentialPlot #Land #Shankarpalli #Hyderabad #Residential… https://t.co/C0HDvfOqyJ
0,Mon Jan 27 06:26:02 +0000 2020,1221680748815515648,"@GabbbarSingh Some of my friends were fortunate to do a course under him, I missed out due to diff Dept. He's an am… https://t.co/6JLxZ1SPh0"
0,Mon Jan 27 06:26:27 +0000 2020,1221680850724507654,4202993173 my PNR. Now i don't expect any response. I am putting it on record for future litigation.
0,Mon Jan 27 06:28:12 +0000 2020,1221681294255378432,Sir please #Yuvarathnaa  Update wating sir 😌
0,Mon Jan 27 06:28:12 +0000 2020,1221681294255378432,Sir please #Yuvarathnaa  Update wating sir 😌
0,Mon Jan 27 06:28:17 +0000 2020,1221681312383168512,"Deshadhrohi Criminal SICKULAR fraud ,CONGI's Lutyen MOOTHRI *TWITTER*, has blocked uploading of all my Videos ,even… https://t.co/EHaKBNksif"
0,Mon Jan 27 06:28:17 +0000 2020,1221681312383168512,"Deshadhrohi Criminal SICKULAR fraud ,CONGI's Lutyen MOOTHRI *TWITTER*, has blocked uploading of all my Videos ,even… https://t.co/EHaKBNksif"
0,Mon Jan 27 06:28:39 +0000 2020,1221681403923968003,"2BHK FULLY FURNISHED HOUSE #ForSale in #Yerappanahalli, #Bangalore EAST #2Bedroom #IndependentHouse #Residential… https://t.co/RxcPtHbu92"
0,Mon Jan 27 06:28:39 +0000 2020,1221681403923968003,"2BHK FULLY FURNISHED HOUSE #ForSale in #Yerappanahalli, #Bangalore EAST #2Bedroom #IndependentHouse #Residential… https://t.co/RxcPtHbu92"
0,Mon Jan 27 06:29:51 +0000 2020,1221681706119262208,"#KobeBryant Last tweet, may he RIP. https://t.co/Oo7b22mLO3"
0,Mon Jan 27 06:29:51 +0000 2020,1221681706119262208,"#KobeBryant Last tweet, may he RIP. https://t.co/Oo7b22mLO3"
0,Mon Jan 27 06:30:19 +0000 2020,1221681825942134784,"@rakeshreddybjp 
@Sagar4BJP 
@krporeddy 
@NvssprabhakarM 
@BJP4Telangana 
@RaoMlc
Use your good office with Railway… https://t.co/jVaobXHtXn"
0,Mon Jan 27 06:30:19 +0000 2020,1221681825942134784,"@rakeshreddybjp 
@Sagar4BJP 
@krporeddy 
@NvssprabhakarM 
@BJP4Telangana 
@RaoMlc
Use your good office with Railway… https://t.co/jVaobXHtXn"
0,Mon Jan 27 06:30:20 +0000 2020,1221681830912569355,"61 lac, 1200 sqft plot #ForSale in #Whitefield with negotiable price #ResidentialPlot #Land #Bangalore #Residential… https://t.co/FYjZUlfaIT"
0,Mon Jan 27 06:30:20 +0000 2020,1221681830912569355,"61 lac, 1200 sqft plot #ForSale in #Whitefield with negotiable price #ResidentialPlot #Land #Bangalore #Residential… https://t.co/FYjZUlfaIT"
0,Mon Jan 27 06:30:22 +0000 2020,1221681836079738880,"Seriously i don't understand how can this man tell such things for Models how 
He had insulted All The… https://t.co/06K4LNWX0r"
0,Mon Jan 27 06:30:22 +0000 2020,1221681836079738880,"Seriously i don't understand how can this man tell such things for Models how 
He had insulted All The… https://t.co/06K4LNWX0r"
0,Mon Jan 27 06:30:31 +0000 2020,1221681875632164864,"Greetings to Meghalaya's Chief Minister Mr. @SangmaConrad Ji 🌹, on his Birthday.

Wishing him a long and healthy li… https://t.co/aUMxp0q8R6"
0,Mon Jan 27 06:30:31 +0000 2020,1221681875632164864,"Greetings to Meghalaya's Chief Minister Mr. @SangmaConrad Ji 🌹, on his Birthday.

Wishing him a long and healthy li… https://t.co/aUMxp0q8R6"
0,Mon Jan 27 06:30:47 +0000 2020,1221681943856566272,"@kkc_gourav @_kritikaRao_ @BiggBoss Even Sid has achieved lot of things in his past more then this.
Again u took it… https://t.co/JM7t715X5h"
0,Mon Jan 27 06:30:47 +0000 2020,1221681943856566272,"@kkc_gourav @_kritikaRao_ @BiggBoss Even Sid has achieved lot of things in his past more then this.
Again u took it… https://t.co/JM7t715X5h"
0,Mon Jan 27 06:33:20 +0000 2020,1221682583769010180,Hope your day has started with great promise! https://t.co/bNodeZCKFg
0,Mon Jan 27 06:33:20 +0000 2020,1221682583769010180,Hope your day has started with great promise! https://t.co/bNodeZCKFg
0,Mon Jan 27 06:33:28 +0000 2020,1221682619009552385,"Haven’t watched a single basket ball game, yet feel so terrible. Heard so much about him. 2020 has been disasterous already"
0,Mon Jan 27 06:33:57 +0000 2020,1221682739293884416,"This bond is really strong... 

And surely gonna last long... 

@BiggBoss we want to see these 3 more together...… https://t.co/XRLaRwWeXI"
0,Mon Jan 27 06:34:07 +0000 2020,1221682782927118336,Why was Kerala CM not even in the list of best CMs in the survey put out by India today? Why was CM in a hurry to i… https://t.co/oUf2aiMaW8
0,Mon Jan 27 06:34:18 +0000 2020,1221682829471338496,"@HPCL MK Surana, C&amp;MD HPCL #RepublicDayIndia 
Did anyone has answer??
Why @HPCL ignored @CVCIndia direction??
Why C… https://t.co/vMOimFhhEX"
0,Mon Jan 27 06:34:34 +0000 2020,1221682895057637376,"@manakgupta @anuragkashyap72 Hey,Anurag,can i do potty on your face pls,you deserve this kinda language bcoz You are a Third class Gunda"
0,Mon Jan 27 06:34:42 +0000 2020,1221682926670106624,Well said! https://t.co/IVPXCBk7Lk
0,Mon Jan 27 06:34:42 +0000 2020,1221682926670106624,Well said! https://t.co/IVPXCBk7Lk
0,Mon Jan 27 06:36:04 +0000 2020,1221683270607233024,@RK_sports @anilkumble1074 Great man
0,Mon Jan 27 06:36:12 +0000 2020,1221683304866254849,A hearty welcome to the France Team for the YCO. All the very best for YCO2020. https://t.co/1tIQeM00Xl
0,Mon Jan 27 06:36:14 +0000 2020,1221683315788247040,If you want a dramatic entry better carry your own playlist.
0,Mon Jan 27 06:36:24 +0000 2020,1221683357567700992,@CNNnews18 Only imbeciles believe that those who are peacefully protesting for more than a month are supported by t… https://t.co/0fCnkgAzHK
0,Tue Jan 28 07:35:33 +0000 2020,1222060630573641728,"Honorable @jsm_MOPNG @AshutoshJindalS very happy to inform you #RepublicDayIndia over!!

Irony is dreaming for Just… https://t.co/sb6CduTP8C"
0,Tue Jan 28 07:35:36 +0000 2020,1222060640291844096,"Deshadhrohi*CONGI's*R the most Shameless, Opportunistic,Criminal,Sickular frauds of the nation.
CONGIS R*TRAITORS.… https://t.co/xeXVprWcfz"
0,Tue Jan 28 07:35:35 +0000 2020,1222060639650119682,Take this guideline in mind as life is precious thing and be a healthy citizen of country.  An important message wh… https://t.co/6HKzB887Z1
0,Tue Jan 28 07:35:41 +0000 2020,1222060661116555266,@enkavithai7 Good Noon
0,Tue Jan 28 07:35:56 +0000 2020,1222060725339713536,"CONGIS R *DESHADHROHIS*
CONGIS R TRAITORS
CONGIS R *PORKISTAN LICKERS*
CONGIS R *Terrorist lickers*
CONGIS R *MASOO… https://t.co/ExZHsLGH77"
0,Tue Jan 28 07:36:12 +0000 2020,1222060793962717185,@SalmanNizami_ You will get if you continue ranting
0,Tue Jan 28 07:36:12 +0000 2020,1222060793962717185,@SalmanNizami_ You will get if you continue ranting
0,Tue Jan 28 07:36:25 +0000 2020,1222060848576786432,"Deshadhrohi*CONGI's*R the most Shameless, Opportunistic,Criminal,Sickular frauds of the nation.
CONGIS R*TRAITORS.… https://t.co/VThNbuQhj6"
0,Tue Jan 28 07:36:25 +0000 2020,1222060848576786432,"Deshadhrohi*CONGI's*R the most Shameless, Opportunistic,Criminal,Sickular frauds of the nation.
CONGIS R*TRAITORS.… https://t.co/VThNbuQhj6"
0,Tue Jan 28 08:51:33 +0000 2020,1222079754536243200,Shaheen Bagh is the result of the mistake made by our leaders at the time of Independence when they decided to let… https://t.co/nShEl7wjd2
0,Tue Jan 28 08:51:42 +0000 2020,1222079793346138113,"Justice Banumathi asks about the reason for raising the point of solitary confinement.

Prakash says it is a ground… https://t.co/KJSTdKsP0v"
0,Tue Jan 28 08:51:48 +0000 2020,1222079820005138432,"Is this secularism???🤔🖕
@DrKumarVishwas @_YogendraYadav @ArvindKejriwal @msisodia @digvijaya_28 @ravishndtv… https://t.co/EBimYILoaT"
0,Tue Jan 28 08:51:50 +0000 2020,1222079827936628736,"@jeelanikarim @nuts2406 Property has relatively low value compared to the value of Human life.
What happened in UP… https://t.co/gc9z3rvEWY"
0,Tue Jan 28 08:51:55 +0000 2020,1222079845963685888,"#Banana #Chocolate #Walnut #Cake #Frosted with #PeanutButter
Client: Nandini Sharma https://t.co/Fd0Ek9SnLK"
0,Tue Jan 28 08:52:29 +0000 2020,1222079989387915264,@vivekagnihotri This is Lucknow!
0,Tue Jan 28 08:52:33 +0000 2020,1222080007188578310,Old is gold
0,Tue Jan 28 08:52:49 +0000 2020,1222080073307549696,@AmitShah Witch one 8that MP sir ?
0,Tue Jan 28 08:53:28 +0000 2020,1222080237535580160,@DSGiri @AnkitLal secondly mr. amit shah and manoj tiwari itself spreading fake propaganda. I have watched thier sp… https://t.co/Ifh1JVQgXW
0,Tue Jan 28 08:53:29 +0000 2020,1222080240123428864,@ArvindKejriwal You mean Sharjeel imam types?
0,Tue Jan 28 08:53:29 +0000 2020,1222080242967175168,"Thank you. The lead allocation process needs to be changed ASAP to fix this for all folks.

Customers don’t deserve… https://t.co/OIk5429h8e"
0,Tue Jan 28 08:53:29 +0000 2020,1222080243722158086,"And Mr Modi is not just bothered. 
Or is it tat all this threatening business has his sanction?! 
#junglerajreturns… https://t.co/YmniXzRUhe"
0,Tue Jan 28 08:53:31 +0000 2020,1222080249896173568,right
0,Tue Jan 28 08:53:32 +0000 2020,1222080256158228480,"Another example of why Delhi's education programs are so much better 

#Delhi #EducationDay #LEARNUARY… https://t.co/DgePqJGgsn"
0,Tue Jan 28 08:53:33 +0000 2020,1222080258158907392,"Our products are happiest in the company of nature.
Areca disposables are currently the most preferred bio degradab… https://t.co/ebUzPXVw9U"
0,Tue Jan 28 08:53:34 +0000 2020,1222080263854817280,@nharshakumar @SitaramYechury It is the job of the supreme court of India to safeguard the basic structure doctrine… https://t.co/5x2bvypzBK
0,Tue Jan 28 08:54:00 +0000 2020,1222080372890009603,@simranp78228728 @dgpup @fatehpurpolice @fatehpurpolice -Kindly look into it.
0,Tue Jan 28 08:54:06 +0000 2020,1222080399188340736,#gelato Vinto ...Simply Amazing Natural Italian frozen Desert .... #loveofmylife💕 #alltimefavorite #alltimefav ...… https://t.co/kVh4VkM83N
0,Tue Jan 28 08:54:10 +0000 2020,1222080412333178880,Welcome step from SC to addition of an extinct species..👍🏻
0,Tue Jan 28 08:54:11 +0000 2020,1222080418758955013,"Are You Looking for SEO Services?

SEO is like a resume, you polish it so you have your best foot forward. 

Specia… https://t.co/XuQrFvfjqp"
0,Tue Jan 28 08:54:11 +0000 2020,1222080419283128321,@TheDeshBhakt Befitting
0,Tue Jan 28 08:54:16 +0000 2020,1222080438073581568,@reachdhavan Arrest such people and let t courts decide
